Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.56     0.00  1000000     0.00     0.00  JumpInst::accept(InstructionVisitor&)
  0.00      0.56     0.00  1000000     0.00     0.00  BinopInst::accept(InstructionVisitor&)
  0.00      0.56     0.00      247     0.00     0.00  std::__detail::_Map_base<TokType, std::pair<TokType const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<TokType const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, std::__detail::_Select1st, std::equal_to<TokType>, std::hash<TokType>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true>, true>::operator[](TokType const&)
  0.00      0.56     0.00      145     0.00     0.00  ObjectTypeNode::ObjectTypeNode(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::vector<TypeNode*, std::allocator<TypeNode*> > const&)
  0.00      0.56     0.00       77     0.00     0.00  ObjectTypeNode::clone() const
  0.00      0.56     0.00       58     0.00     0.00  std::_Hashtable<TokType, std::pair<TokType const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<TokType const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, std::__detail::_Select1st, std::equal_to<TokType>, std::hash<TokType>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_insert_unique_node(unsigned long, unsigned long, std::__detail::_Hash_node<std::pair<TokType const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, false>*, unsigned long)
  0.00      0.56     0.00       58     0.00     0.00  std::__detail::_Map_base<TokType, std::pair<TokType const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<TokType const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, std::__detail::_Select1st, std::equal_to<TokType>, std::hash<TokType>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true>, true>::operator[](TokType&&) [clone .constprop.0]
  0.00      0.56     0.00       52     0.00     0.00  std::_Hashtable<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, TokType>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, TokType> >, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::_M_insert_unique_node(unsigned long, unsigned long, std::__detail::_Hash_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, TokType>, true>*, unsigned long)
  0.00      0.56     0.00       48     0.00     0.00  std::_Hashtable<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, TokType>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, TokType> >, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::find(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.56     0.00       47     0.00     0.00  void std::vector<TypeNode*, std::allocator<TypeNode*> >::_M_realloc_insert<TypeNode*>(__gnu_cxx::__normal_iterator<TypeNode**, std::vector<TypeNode*, std::allocator<TypeNode*> > >, TypeNode*&&)
  0.00      0.56     0.00       45     0.00     0.00  FunctionTypeNode::FunctionTypeNode(std::vector<TypeNode*, std::allocator<TypeNode*> > const&, TypeNode*)
  0.00      0.56     0.00       41     0.00     0.00  std::vector<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, Instruction*>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, Instruction*> > >::operator=(std::vector<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, Instruction*>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, Instruction*> > > const&)
  0.00      0.56     0.00       38     0.00     0.00  Scanner::scan_all()
  0.00      0.56     0.00       36     0.00     0.00  ObjectTypeNode::~ObjectTypeNode()
  0.00      0.56     0.00       36     0.00     0.00  void std::vector<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, Instruction*>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, Instruction*> > >::_M_realloc_insert<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, Instruction*> >(__gnu_cxx::__normal_iterator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, Instruction*>*, std::vector<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, Instruction*>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, Instruction*> > > >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, Instruction*>&&)
  0.00      0.56     0.00       34     0.00     0.00  Token::to_string[abi:cxx11]()
  0.00      0.56     0.00       34     0.00     0.00  Scanner::next_token()
  0.00      0.56     0.00       32     0.00     0.00  Translator::dispatch(Node*)
  0.00      0.56     0.00       25     0.00     0.00  void std::vector<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, Instruction*>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, Instruction*> > >::_M_range_insert<__gnu_cxx::__normal_iterator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, Instruction*>*, std::vector<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, Instruction*>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, Instruction*> > > > >(__gnu_cxx::__normal_iterator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, Instruction*>*, std::vector<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, Instruction*>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, Instruction*> > > >, __gnu_cxx::__normal_iterator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, Instruction*>*, std::vector<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, Instruction*>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, Instruction*> > > >, __gnu_cxx::__normal_iterator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, Instruction*>*, std::vector<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, Instruction*>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, Instruction*> > > >, std::forward_iterator_tag)
  0.00      0.56     0.00       23     0.00     0.00  Token::Token(TokType, int, int)
  0.00      0.56     0.00       22     0.00     0.00  std::__detail::_Map_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, TokType>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, TokType> >, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true>, true>::operator[](std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.56     0.00       21     0.00     0.00  IdNode::id() const
  0.00      0.56     0.00       21     0.00     0.00  void std::vector<Object*, std::allocator<Object*> >::_M_realloc_insert<Object*>(__gnu_cxx::__normal_iterator<Object**, std::vector<Object*, std::allocator<Object*> > >, Object*&&)
  0.00      0.56     0.00       20     0.00     0.00  SymbolInfo::type()
  0.00      0.56     0.00       20     0.00     0.00  FunctionTypeNode::clone() const
  0.00      0.56     0.00       20     0.00     0.00  std::_Hashtable<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, FunctionTypeNode*>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, FunctionTypeNode*> >, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::find(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.56     0.00       19     0.00     0.00  Scanner::scan_other()
  0.00      0.56     0.00       19     0.00     0.00  void std::vector<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, Instruction*>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, Instruction*> > >::emplace_back<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, Instruction*> >(std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, Instruction*>&&)
  0.00      0.56     0.00       17     0.00     0.00  Parser::expect_token(TokType)
  0.00      0.56     0.00       15     0.00     0.00  std::__detail::_Map_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, TokType>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, TokType> >, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true>, true>::operator[](std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&)
  0.00      0.56     0.00       14     0.00     0.00  ObjectTypeNode::object()
  0.00      0.56     0.00       13     0.00     0.00  FunctionTable::add(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, FunctionTypeNode&)
  0.00      0.56     0.00       13     0.00     0.00  Token::Token(TokType, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, int, int)
  0.00      0.56     0.00       13     0.00     0.00  IdNode::IdNode(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.00      0.56     0.00       13     0.00     0.00  GetInst::GetInst(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.56     0.00       13     0.00     0.00  std::pair<std::__detail::_Node_iterator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, FunctionTypeNode*>, false, true>, bool> std::_Hashtable<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, FunctionTypeNode*>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, FunctionTypeNode*> >, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::_M_emplace<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, FunctionTypeNode*> >(std::integral_constant<bool, true>, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, FunctionTypeNode*>&&)
  0.00      0.56     0.00       12     0.00     0.00  CodeObject::CodeObject(CodeBuiltin)
  0.00      0.56     0.00       12     0.00     0.00  SymbolInfo::set_type(TypeNode const&)
  0.00      0.56     0.00       12     0.00     0.00  SymbolInfo::SymbolInfo()
  0.00      0.56     0.00       12     0.00     0.00  GetInst::to_string[abi:cxx11]() const
  0.00      0.56     0.00       11     0.00     0.00  Scanner::scan_keyword_or_identifier()
  0.00      0.56     0.00       10     0.00     0.00  Translator::visit(IdNode&)
  0.00      0.56     0.00       10     0.00     0.00  Checker::dispatch(Node*)
  0.00      0.56     0.00        9     0.00     0.00  NumberNode::number() const
  0.00      0.56     0.00        8     0.00     0.00  Parser::parse_call_or_subscript_chain(Node*)
  0.00      0.56     0.00        7     0.00     0.00  ObjectTypeNode::~ObjectTypeNode()
  0.00      0.56     0.00        7     0.00     0.00  FunctionTypeNode::~FunctionTypeNode()
  0.00      0.56     0.00        7     0.00     0.00  Parser::parse_factor()
  0.00      0.56     0.00        7     0.00     0.00  Parser::parse_ternary()
  0.00      0.56     0.00        7     0.00     0.00  Parser::parse_id_or_literal()
  0.00      0.56     0.00        7     0.00     0.00  Parser::parse_bool_expression()
  0.00      0.56     0.00        7     0.00     0.00  Parser::parse_add_or_sub_expression()
  0.00      0.56     0.00        7     0.00     0.00  Parser::parse_mul_div_or_mod_expression()
  0.00      0.56     0.00        7     0.00     0.00  CallNode::call()
  0.00      0.56     0.00        7     0.00     0.00  std::pair<std::__detail::_Node_iterator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, FunctionTypeNode*>, false, true>, bool> std::_Hashtable<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, FunctionTypeNode*>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, FunctionTypeNode*> >, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::_M_emplace<std::pair<char const*, FunctionTypeNode*> >(std::integral_constant<bool, true>, std::pair<char const*, FunctionTypeNode*>&&)
  0.00      0.56     0.00        7     0.00     0.00  std::_Hashtable<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, FunctionTypeNode*>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, FunctionTypeNode*> >, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::_M_insert_unique_node(unsigned long, unsigned long, std::__detail::_Hash_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, FunctionTypeNode*>, true>*, unsigned long)
